,Human vs technology,Contemporary life,Society’s essence,Government’s role,Education,Leadership;,Past legacy,Authority,Society’s responsibilities,Human’s thinking,Contrasting views,Imagination,Cooperation vs competition,Goals vs means,Lowest denominator,Free will,Immediate vs long-term,Outside knowledge,Scandals;,Corporations,Miscellaneous
"As people rely more and more on technology to solve problems, the ability of humans to think for themselves will surely deteriorate.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The human mind will always be superior to machines because machines are only tools of human minds.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The primary goal of technological advancement should be to increase people’s efficiency so that they have more leisure time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people believe that our ever-increasing use of technology significantly reduces our opportunities for human interaction. Other people believe that technology provides us with new and better ways to communicate and connect with one another.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The luxuries and conveniences of contemporary life prevent people from developing into truly strong and independent individuals.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The increasingly rapid pace of life today causes more problems than it solves.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claim: It is no longer possible for a society to regard any living man or woman as a hero. Reason: The reputation of anyone who is subjected to media scrutiny will eventually be diminished.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In this age of intensive media coverage, it is no longer possible for a society to regard any living man or woman as a hero.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It is no longer possible for a society to regard any living man or woman as a hero.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unfortunately, in contemporary society, creating an appealing image has become more important than the reality or truth behind that image.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"To understand the most important characteristics of a society, one must study its major cities.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
