,Topic,Education,Technology & Society,Cities,Arts,Government & Power,Intellectual Endeavors,Philosophical
0,General welfare of people as the surest indicator of a great nation (6),0,0,0,0,0,0,0
1,Claim: Knowing about the past cannot help people to make important decisions today.;Reason: The world today is significantly more complex than it was even in the relatively recent past.,0,0,0,0,0,0,0
2,Government and scientific research (2),0,0,0,0,0,0,0
3,"To be an effective leader, a public official must maintain the highest ethical and moral standards. (x2)",0,0,0,0,0,0,0
4,Government officials should rely on their own judgment rather than unquestioningly carry out the will of the people they serve.,0,0,0,0,0,0,0
5,"To be an effective leader, a public official must maintain the highest ethical and moral standards.",0,0,0,0,0,0,0
6,"As people rely more and more on technology to solve problems, the ability of humans to think for themselves will surely deteriorate.",0,0,0,0,0,0,0
7,"Claim: Researchers should not limit their investigations to only those areas in which they expect to discover something that has an immediate, practical application.Reason: It is impossible to predict the outcome of a line of research with any certainty.",0,0,0,0,0,0,0
8,A nation should require all of its students to study the same national curriculum until they enter college. (x3),0,0,0,0,0,0,0
9,People's behavior is largely determined by forces not of their own making.,0,0,0,0,0,0,0
10,Educational institutions should actively encourage their students to choose fields of study in which jobs are plentiful. (x2),0,0,0,0,0,0,0
11,Some people believe that universities should require every student to take a variety of courses outside the student’s field of study. Others believe that universities should not force students to take any courses other than those that will help prepare them for jobs in their chosen fields.,0,0,0,0,0,0,0
12,All parents should be required to volunteer time to their children’s schools. (x2),0,0,0,0,0,0,0
13,We can usually learn much more from people whose views we share than from people whose views contradict our own. (x2),0,0,0,0,0,0,0
14,The primary goal of technological advancement should be to increase people’s efficiency so that they have more leisure time.,0,0,0,0,0,0,0
15,"In any profession—business, politics, education, government—those in power should step down after five years.",0,0,0,0,0,0,0
16,"Claim: The surest indicator of a great nation must be the achievements of its rulers, artists, or scientists.Reason: Great achievements by a nation's rulers, artists, or scientists will ensure a good life for the majority of that nation's people.",0,0,0,0,0,0,0
17,Government and free education (2),0,0,0,0,0,0,0
18,It is more harmful to compromise one's own beliefs than to adhere to them.,0,0,0,0,0,0,0
