,Topic,Education,Technology & Society,Cities,Arts,Government & Power,Intellectual Endeavors,Philosophical
0,"The greatness of individuals can be decided only by those who live after them, not by their contemporaries.",0,0,1,0,0,0,0
1,"Some people believe that in order to be effective, political leaders must yield to public opinion and abandon principle for the sake of compromise. Others believe that the most essential quality of an effective leader is the ability to remain consistently committed to particular principles and objectives.",0,1,0,0,0,0,0
2,"Laws should be flexible enough to take account of various circumstances, times, and places.",0,0,1,0,0,0,0
3,Students should always question what they are taught instead of accepting it passively.,0,1,0,0,0,0,0
4,The luxuries and conveniences of contemporary life prevent people from developing into truly strong and independent individuals.,0,0,0,0,1,0,0
5,Many important discoveries or creations are accidental: it is usually while seeking the answer to one question that we come across the answer to another.,0,0,1,0,0,0,0
6,"In this age of intensive media coverage, it is no longer possible for a society to regard any living man or woman as a hero.",0,0,0,0,1,0,0
7,"Some people believe that corporations have a responsibility to promote the well-being of the societies and environments in which they operate. Others believe that the only responsibility of corporations, provided they operate within the law, is to make as much money as possible.",0,0,0,0,0,1,0
8,"Educators should teach facts only after their students have studied the ideas, trends, and concepts that help explain those facts.",0,1,0,0,0,0,0
9,The human mind will always be superior to machines because machines are only tools of human minds.,1,0,0,0,0,0,0
10,"In any field of inquiry, the beginner is more likely than the expert to make important contributions.",0,0,0,0,0,1,0
11,"Some people believe that society should try to save every plant and animal species, despite the expense to humans in effort, time, and financial well-being. Others believe that society need not make extraordinary efforts, especially at a great cost in money and jobs, to save endangered species.",0,0,1,0,0,0,0
12,Nations should suspend government funding for the arts when significant numbers of their citizens are hungry or unemployed.,1,1,0,0,0,0,0
13,Some people believe that competition for high grades motivates students to excel in the classroom. Others believe that such competition seriously limits the quality of real learning.,0,1,0,0,0,0,0
14,Nations should pass laws to preserve any remaining wilderness areas in their natural state.,0,0,1,0,0,0,0
15,Some people believe that the purpose of education is to free the mind and the spirit. Others believe that formal education tends to restrain our minds and spirits rather than set them free.,0,1,0,0,0,0,0
16,College students should be encouraged to pursue subjects that interest them rather than the courses that seem most likely to lead to jobs.,0,1,0,0,0,0,0
17,Every individual in a society has a responsibility to obey just laws and to disobey and resist unjust laws.,0,0,1,0,0,0,0
18,"When old buildings stand on ground that modern planners feel could be better used for modern purposes, modern development should be given precedence over the preservation of historic buildings.",0,0,1,0,0,0,0
